111 Aerospace AdvitV 301 M-T 08AM-09AM AlbertEinst 3 10 10
222 Aerospace AdvitV 301 T-W 10AM-11AM NikolaTesla 3 10 10
333 Aerospace AdvitV 301 W-TH 12PM-01PM ThomasEdiso 3 10 10
444 Philosophy AdvitV 302 M-T 03PM-04PM SwamiViveka 3 10 10
555 Philosphy AdvitV 302 T-W 04PM-05PM BaruchSpino 3 10 10
666 Philosphy AdvitV 302 W-TH 01PM-02PM RamaKrishna 3 10 10
777 Mathematics AdvitV 303 M-T 11AM-12PM SrinivasRam 3 10 10
888 Aerospace AdvitV 304 W-TH 05PM-06PM CharlesDarw 3 10 10
999 Astronomy AdvitV 305 TH-F 10AM-11AM GalileoGali 3 10 10
159 Aerospace AdvitV 306 TH-F 11AM-12PM AbduKalam 3 10 10
